,importance
11745206_x_at,0.00502157362346598
11745262_at,0.005011623145755055
11762358_at,0.004952168203898282
11719657_a_at,0.004924375256966808
11718684_x_at,0.004917820212150007
11731778_a_at,0.004882047791867636
11731273_a_at,0.004831034088898682
11725889_at,0.0048024944687987325
11747587_a_at,0.0047854530395098765
11718407_a_at,0.0047708594939892416
11716149_a_at,0.004756900769047161
11756217_x_at,0.004737714204118728
11754830_a_at,0.004719965788583659
11734305_a_at,0.0047076508478531365
11722662_a_at,0.004650755730717456
11717863_a_at,0.004632371233236588
11755032_s_at,0.0046168080707256415
11762549_at,0.00461005958744579
11724283_a_at,0.004609880268142965
11737027_a_at,0.004580182131598721
11759183_at,0.0045671775047355
11728826_s_at,0.0044915002708828
11731577_a_at,0.004479042187182066
11741089_x_at,0.004478684256869573
11743045_a_at,0.004467702473071207
11731135_a_at,0.004449679556428066
11738864_a_at,0.004392839462505533
11723853_a_at,0.004373752553847437
11721632_a_at,0.0043110693976034405
11733513_a_at,0.004257174758526798
11719918_s_at,0.004238012314634684
11717995_x_at,0.004231974664081002
11740041_at,0.004220231421283629
11729677_a_at,0.004108857731432374
11718158_a_at,0.00410780653729805
11754833_a_at,0.0041004798662029876
11756300_a_at,0.004099711795606693
11762865_a_at,0.003972976045839503
11744286_s_at,0.00394203980843496
11763382_a_at,0.003923580398573961
11732725_at,0.0038741878732102817
11719827_a_at,0.003853800618390207
11726801_at,0.0037958111816372266
11752332_x_at,0.0037857102752145025
11749297_a_at,0.0037838007326770153
11717060_a_at,0.003781263214755416
11759187_at,0.003759653989162319
11747751_s_at,0.0037566738363030002
11741241_a_at,0.003755957656589623
11728500_a_at,0.0037337839602327194
11751756_a_at,0.003716193937955646
11734084_a_at,0.0037140422356949955
11763564_a_at,0.003692663569479651
11724407_s_at,0.0036833271469834034
11748160_s_at,0.003642544478397391
11746028_x_at,0.003642168173967892
11752379_a_at,0.0036232904271967744
11717959_a_at,0.0036138205422365176
11723729_at,0.003610724770633481
11735412_a_at,0.003605653384513641
11750700_a_at,0.003576236291502349
11736837_a_at,0.0035601558140137325
11744888_a_at,0.003558188598949797
11730764_a_at,0.003542701998320246
11719302_a_at,0.0035422019847263266
11730579_a_at,0.003536887661845287
11758707_s_at,0.003526691118353595
11754680_a_at,0.0035255243436725222
11761779_a_at,0.0035240430673588985
11744835_s_at,0.0035096191219702094
11764046_x_at,0.0035006315651348015
11727552_at,0.0034966376077201515
11754475_a_at,0.0034571247062508276
